sub r6,r5|761b
sub r6,r6|b61b
sub r6,r7|f61b
sub r7,#0|003f
sub r7,r0|3f1a
sub r7,r1|7f1a
sub r7,r2|bf1a
sub r7,r3|ff1a
sub r7,r4|3f1b
sub r7,r5|7f1b
sub r7,r6|bf1b
sub r7,r7|ff1b
and r0,r0|0040
and r0,r1|0840
and r0,r2|1040
and r0,r3|1840
and r0,r4|2040
and r0,r5|2840
and r0,r6|3040
and r0,r7|3840
and r1,r0|0140
and r1,r1|0940
and r1,r2|1140
and r1,r3|1940
and r1,r4|2140
and r1,r5|2940
and r1,r6|3140
and r1,r7|3940
and r2,r0|0240
and r2,r1|0a40
and r2,r2|1240
and r2,r3|1a40
and r2,r4|2240
and r2,r5|2a40
and r2,r6|3240
and r2,r7|3a40
and r3,r0|0340
and r3,r1|0b40
and r3,r2|1340
and r3,r3|1b40
and r3,r4|2340
and r3,r5|2b40
and r3,r6|3340
and r3,r7|3b40
and r4,r0|0440
and r4,r1|0c40
and r4,r2|1440
and r4,r3|1c40
and r4,r4|2440
and r4,r5|2c40
and r4,r6|3440
and r4,r7|3c40
and r5,r0|0540
and r5,r1|0d40
and r5,r2|1540
and r5,r3|1d40
and r5,r4|2540
and r5,r5|2d40
and r5,r6|3540
and r5,r7|3d40
and r6,r0|0640
and r6,r1|0e40
and r6,r2|1640
and r6,r3|1e40
and r6,r4|2640
and r6,r5|2e40
and r6,r6|3640
and r6,r7|3e40
and r7,r0|0740
and r7,r1|0f40
and r7,r2|1740
and r7,r3|1f40
and r7,r4|2740
and r7,r5|2f40
and r7,r6|3740
and r7,r7|3f40
b r0 | fee7
b r1 | fee7
b r2 | fee7
b r3 | fee7
b r4 | fee7
b r5 | fee7
b r6 | fee7
b r7 | fee7
b r8 | fee7
b [r0] | fee7
b [r1] | fee7
b [r2] | fee7
b [r3] | fee7
b [r4] | fee7
b [r5] | fee7
b [r6] | fee7
b [r7] | fee7
b [r8] | fee7
bcc r0 | fed3
bcc r1 | fed3
bcc r2 | fed3
bcc r3 | fed3
bcc r4 | fed3
bcc r5 | fed3
bcc r6 | fed3
bcc r7 | fed3
bcc r8 | fed3
bcc [r0] | fed3
bcc [r1] | fed3
bcc [r2] | fed3
bcc [r3] | fed3
bcc [r4] | fed3
bcc [r5] | fed3
bcc [r6] | fed3
bcc [r7] | fed3
bcc [r8] | fed3
neg r0,r0|4042
neg r0,r1|4842
neg r0,r2|5042
neg r0,r3|5842
neg r0,r4|6042
neg r0,r5|6842
neg r0,r6|7042
neg r0,r7|7842
neg r1,r0|4142
neg r1,r1|4942
neg r1,r2|5142
neg r1,r3|5942
neg r1,r4|6142
neg r1,r5|6942
neg r1,r6|7142
neg r1,r7|7942
neg r2,r0|4242
neg r2,r1|4a42
neg r2,r2|5242
neg r2,r3|5a42
neg r2,r4|6242
neg r2,r5|6a42
neg r2,r6|7242
neg r2,r7|7a42
neg r3,r0|4342
neg r3,r1|4b42
neg r3,r2|5342
neg r3,r3|5b42
neg r3,r4|6342
neg r3,r5|6b42
neg r3,r6|7342
neg r3,r7|7b42
neg r4,r0|4442
neg r4,r1|4c42
neg r4,r2|5442
neg r4,r3|5c42
neg r4,r4|6442
neg r4,r5|6c42
neg r4,r6|7442
neg r4,r7|7c42
neg r5,r0|4542
neg r5,r1|4d42
neg r5,r2|5542
neg r5,r3|5d42
neg r5,r4|6542
neg r5,r5|6d42
neg r5,r6|7542
neg r5,r7|7d42
